eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,occurrenceStatus,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
NSTransect_1_subsample_1,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_1_Plecoptera,HumanObservation,present,3,Stonefly larvae,,Animalia,Arthropoda,Insecta,Plecoptera,,order
NSTransect_1_subsample_1,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_1_Trichoptera,HumanObservation,present,1,Caseless Caddisfly,,Animalia,Arthropoda,Insecta,Trichoptera,,order
NSTransect_1_subsample_1,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_1_Ephemeroptera,HumanObservation,present,1,Mayfly Larvae,,Animalia,Arthropoda,Insecta,Ephemeroptera,,order
NSTransect_1_subsample_1,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_1_Coleoptera,HumanObservation,present,1,Beetle Larvae,,Animalia,Arthropoda,Insecta,Coleoptera,,order
NSTransect_1_subsample_2,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_2_Lumbriculidae,HumanObservation,present,2,Freshwater Worm,,Animalia,Annelida,Clitellata,Lumbriculidae,,order
NSTransect_1_subsample_2,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_2_Trichoptera,HumanObservation,present,1,Caseless Caddisfly,,Animalia,Arthropoda,Insecta,Trichoptera,,order
NSTransect_1_subsample_2,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_2_Plecoptera,HumanObservation,present,1,Stonefly Larvae,,Animalia,Arthropoda,Insecta,Plecoptera,,order
NSTransect_1_subsample_2,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_2_Ephemeroptera,HumanObservation,present,1,Mayfly Larvae,,Animalia,Arthropoda,Insecta,Ephemeroptera,,order
NSTransect_1_subsample_2,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_2_Tricladida,HumanObservation,present,1,Flatworm,,Animalia,Platyhelminthes,,Tricladida,,order
NSTransect_1_subsample_2,North,Stream,120,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Opportunistic sampling,30,second,13/09/2024,10:05,257,Started as far as accessible and worked our way down stream,Scotland,GB-SCT,Lochranza,admits.barrel.reveal,55.704722,-5.2675,WGS84,NSTransect_1_subsample_2_Trichoptera,HumanObservation,present,1,Cased Caddisfly,,Animalia,Arthropoda,Insecta,Trichoptera,,order
